rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.WT3s,"UAE Tour, Stage 5 : Al Marjan Island - Umm Al Quwain",41013,GROENEWEGEN Dylan,19238,0.5,0,2023-02-24,Frank
1,2.1s,"O Gran Camiño, Stage 2 : Tui - A Guarda",41019,VINGEGAARD RASMUSSEN Jonas,25740,0.2,0,2023-02-24,Arjan
1,2.1s,"Tour du Rwanda, Stage 6 : Rubavu - Gicumbi",41005,BADILATTI Matteo,24246,0.2,0,2023-02-24,-
1,2.WT3s,"UAE Tour, Stage 4 : Al Shindagha - Dubai Harbour",41012,MOLANO BENAVIDES Juan Sebastian,23463,0.5,0,2023-02-23,PB
1,2.1s,"O Gran Camiño, Stage 1 : Muralla de Lugo - Sarria",41018,no result,13543,0.2,0,2023-02-23,-
1,2.1s,"Tour du Rwanda, Stage 5 : Rusizi - Rubavu (prov.)",41004,ORMISTON Callum,29773,0.2,0,2023-02-23,-
1,2.WT3s,"UAE Tour, Stage 3 : Fujairah - Jebel Jais (prov.)",41011,RUBIO REYES Einer Augusto,27024,0.5,0,2023-02-22,Frank
1,2.1s,"Tour du Rwanda, Stage 4 : Musanze - Karongi (prov.)",41003,BONNET Thomas,32240,0.2,0,2023-02-22,-
1,2.1s,"Tour du Rwanda, Stage 3 : Huye - Musanze (prov.)",41002,MULUBRHAN Henok,28186,0.2,0,2023-02-21,-
1,2.WT3s,"UAE Tour, Stage 1 : Al Dhafra Castle - Al Mirfa (prov.)",41009,MERLIER Tim,17988,0.5,0,2023-02-20,Wijnand
1,2.1s,"Tour du Rwanda, Stage 2 : Kigali - Gisagara (prov.)",41001,VERNON Ethan,30035,0.2,0,2023-02-20,Arjan
1,2.PS,"Volta ao Algarve, General classification",40989,MARTINEZ POVEDA Daniel Felipe,23503,4,50,2023-02-19,Bram
2,2.PS,"Volta ao Algarve, General classification",40989,GANNA Filippo,24057,1,35,2023-02-19,Jan
3,2.PS,"Volta ao Algarve, General classification",40989,VAN WILDER Ilan,29828,0.5,25,2023-02-19,Wijnand
4,2.PS,"Volta ao Algarve, General classification",40989,FOSS Tobias Svendsen,24873,0,20,2023-02-19,Harry
5,2.PS,"Volta ao Algarve, General classification",40989,KÜNG Stefan,20960,0,18,2023-02-19,PB
6,2.PS,"Volta ao Algarve, General classification",40989,ALMEIDA Joao Pedro Gonçalves,26482,0,16,2023-02-19,Wijnand
7,2.PS,"Volta ao Algarve, General classification",40989,PIDCOCK Thomas,27708,0,14,2023-02-19,Albert
8,2.PS,"Volta ao Algarve, General classification",40989,MOLLEMA Bauke,5139,0,12,2023-02-19,Roy
9,2.PS,"Volta ao Algarve, General classification",40989,CORT NIELSEN Magnus,19448,0,10,2023-02-19,Vel
10,2.PS,"Volta ao Algarve, General classification",40989,COSTA Rui Alberto Faria,6807,0,8,2023-02-19,-
1,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,POGACAR Tadej,26526,4,50,2023-02-19,Kees
2,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,LANDA MEANA Mikel,14319,1,35,2023-02-19,Harry
3,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,BUITRAGO SANCHEZ Santiago,29699,0.5,25,2023-02-19,Jan
4,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,RODRIGUEZ CANO Carlos,30836,0,20,2023-02-19,Roy
5,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,MAS NICOLAU Enric,22794,0,18,2023-02-19,PB
