rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.1s,"Österreich-Rundfahrt / Tour of Austria , Prologue : St. Pölten I.T.T. (prov.)",43589,ROGERS Cameron,34333,0.2,0,2024-07-02,-
1,NCT5,National Championships Iran (Zanjan) I.T.T.,43337,SAFARZADEH Saeid,3685,0.0,0,2024-07-02,-
-4,GT1s,"Leiderstrui na Tour de France, Stage 3 : Plaisance - Torino (prov.)",43275,Carapaz Richard,21342,1,0,2024-07-01,Paul
-1,GT1s,"Jongerentrui na Tour de France, Stage 3 : Plaisance - Torino (prov.)",43275,Evenepoel Remco,28377,0.1,0,2024-07-01,Roy
-2,GT1s,"Puntentrui na Tour de France, Stage 3 : Plaisance - Torino (prov.)",43275,Abrahamsen Jonas,22233,0.2,0,2024-07-01,-
-3,GT1s,"Bergtrui na Tour de France, Stage 3 : Plaisance - Torino (prov.)",43275,Abrahamsen Jonas,22233,0.2,0,2024-07-01,-
1,GT1s,"Tour de France, Stage 3 : Plaisance - Torino (prov.)",43275,GIRMAY HAILU Biniam,29474,3,0,2024-07-01,Nicky
1,NC5,National Championships Iran (Zanjan) R.R.,43338,SEYFOLLAHIFARD Hasan,29266,0.0,0,2024-07-01,-
-4,GT1s,"Leiderstrui na Tour de France, Stage 2 : Cesenatico - Bologna (prov.)",43274,Pogacar Tadej,26526,1,0,2024-06-30,Wijnand
-1,GT1s,"Jongerentrui na Tour de France, Stage 2 : Cesenatico - Bologna (prov.)",43274,Evenepoel Remco,28377,0.1,0,2024-06-30,Roy
-2,GT1s,"Puntentrui na Tour de France, Stage 2 : Cesenatico - Bologna (prov.)",43274,Abrahamsen Jonas,22233,0.2,0,2024-06-30,-
-3,GT1s,"Bergtrui na Tour de France, Stage 2 : Cesenatico - Bologna (prov.)",43274,Abrahamsen Jonas,22233,0.2,0,2024-06-30,-
1,GT1s,"Tour de France, Stage 2 : Cesenatico - Bologna (prov.)",43274,VAUQUELIN Kévin,31264,3,0,2024-06-30,Albert
1,2.1,"Tour de Slovaquie, General classification",43266,SCHMID Mauro,29214,2,0,2024-06-30,Albert
2,2.1,"Tour de Slovaquie, General classification",43266,ALAPHILIPPE Julian,18610,0.3,0,2024-06-30,Kaspar
3,2.1,"Tour de Slovaquie, General classification",43266,ENGELHARDT Felix,29297,0.1,0,2024-06-30,Paul
