renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
24326,AULAR Orluis,AULAR SANABRIA Orluis Alberto,PB,1,CJR,VEN,27,3.7,20
23306,BAX Sjoerd,BAX Sjoerd,PB,1,UAD,NED,27,2,8
13362,BENNETT Sam,BENNETT Sam,PB,11,BOH,IRL,33,0.7,0
20697,BETTIOL Alberto,BETTIOL Alberto,PB,1,EFE,ITA,30,1.2,8
18739,BUCHMANN Emanuel,BUCHMANN Emanuel,PB,2,BOH,GER,31,5,60
3366,CLARKE Simon,CLARKE Simon,PB,0,IPT,AUS,37,1.3,55
24189,COSNEFROY Benoît,COSNEFROY Benoît,PB,17,ACT,FRA,28,0.8,49
29309,FEDOROV Yevgeniy,FEDOROV Yevgeniy,PB,1,AST,KAZ,23,0.5,0
23497,GARCIA CORTINA Ivan,GARCIA CORTINA Ivan,PB,1,MOV,ESP,28,0.2,18
20960,KÜNG Stefan,KÜNG Stefan,PB,11,GFC,SUI,30,4.1,106
27132,LOPEZ Juan Pedro,LOPEZ PEREZ Juan Pedro,PB,1,TFS,ESP,26,0,0
24758,MADOUAS Valentin,MADOUAS Valentin,PB,6,GFC,FRA,27,20.0,185
22794,MAS NICOLAU Enric,MAS NICOLAU Enric,PB,17,MOV,ESP,28,3.2,88
23463,MOLANO Juan,MOLANO BENAVIDES Juan Sebastian,PB,1,UAD,COL,29,6.8,82
22676,MOSCON Gianni,MOSCON Gianni,PB,2,AST,ITA,29,0,0
13863,NIZZOLO Giacomo,NIZZOLO Giacomo,PB,1,IPT,ITA,34,4,76
24293,PADUN Mark,PADUN Mark,PB,1,EFE,UKR,27,0,0
29492,STRONG Corbin,STRONG Corbin,PB,1,IPT,NZL,23,3.8,102
18233,STUYVEN Jasper,STUYVEN Jasper,PB,6,TFS,BEL,31,2.5,95
26437,SWIFT Connor,SWIFT Connor,PB,1,IGD,GBR,28,0,36
25623,TILLER Rasmus Fossum,TILLER Rasmus Fossum,PB,1,UXT,NOR,27,6.1,158
28509,WALLS Matthew,WALLS Matthew,PB,1,BOH,GBR,25,0,0
19646,WALSCHEID Maximilian,WALSCHEID Maximilian,PB,1,COF,GER,30,0,40
23517,WELSFORD Samuel,WELSFORD Samuel,PB,1,DSM,AUS,27,6.3,95
17893,YATES Simon,YATES Simon,PB,13,JAY,GBR,31,12.0,126
